concept,type
datasetVersion.metadataBlocks.socialscience.fields.value,string
datasetVersion.metadataBlocks.geospatial.fields.value.country.typeClass,string
datasetVersion.termsOfUse,string
datasetVersion.storageIdentifier,id
datasetVersion.metadataBlocks.citation.fields.value.publicationCitation.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.dsDescriptionDate.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.datasetContactName.typeClass,string
persistentUrl,URL
datasetVersion.metadataBlocks.citation.fields.value.publicationIDNumber.multiple,string
datasetVersion.citationRequirements,string
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabularyURI.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.contributorType.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabularyURI.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.dsDescriptionValue.typeClass,string
datasetVersion.files.dataFile.filename,string
datasetVersion.files.description,string
publicationDate,date
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifierScheme.value,string
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifier.typeClass,string
datasetVersion.id,id
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredEnd.value,date
datasetVersion.versionState,string
datasetVersion.metadataBlocks.citation.fields.value.topicClassVocabURI.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.dsDescriptionDate.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.topicClassVocab.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.contributorName.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.topicClassVocabURI.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredStart.typeName,string
datasetVersion.disclaimer,string
datasetVersion.files.dataFile.originalFileFormat,string
datasetVersion.metadataBlocks.citation.fields.value.softwareVersion.multiple,string
datasetVersion.files.dataFile.originalFileSize,integer
datasetVersion.files.dataFile.checksum.type,string
datasetVersion.metadataBlocks.citation.fields.value.publicationIDType.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifier.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.softwareName.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.producerLogoURL.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.softwareName.typeClass,string
datasetVersion.metadataBlocks.geospatial.fields.value.country.value,string
datasetVersion.metadataBlocks.citation.name,string
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabularyURI.value,URL
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabularyURI.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.distributorLogoURL.value,
datasetVersion.files.dataFile.id,id
datasetVersion.metadataBlocks.citation.fields.value.keywordValue.typeClass,string
datasetVersion.files.version,string
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifier.value,id
datasetVersion.citation,string
datasetVersion.files.dataFile.UNF,string
datasetVersion.distributionDate,date
datasetVersion.metadataBlocks.citation.fields.value.authorAffiliation.value,string
datasetVersion.metadataBlocks.geospatial.fields.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.contributorType.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.contributorName.typeName,string
datasetVersion.files.dataFile.pidURL,URL
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabulary.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.publicationURL.typeClass,string
datasetVersion.metadataBlocks.citation.fields.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.keywordValue.value,string
identifier,string
datasetVersion.UNF,string
datasetVersion.metadataBlocks.citation.fields.value.topicClassValue.multiple,string
datasetVersion.files.restricted,string
datasetVersion.metadataBlocks.geospatial.fields.typeClass,string
datasetVersion.files.categories,string
datasetVersion.files.dataFile.originalFileName,string
datasetVersion.versionNumber,integer
datasetVersion.metadataBlocks.citation.fields.value.datasetContactEmail.value,mail
datasetVersion.metadataBlocks.citation.fields.value.authorName.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.seriesName.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.datasetContactName.multiple,string
datasetVersion.metadataBlocks.geospatial.name,string
datasetVersion.metadataBlocks.citation.fields.value.contributorName.typeClass,string
protocol,string
datasetVersion.releaseTime,date
datasetVersion.metadataBlocks.citation.fields.value.distributorName.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.topicClassValue.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.publicationIDType.typeName,string
datasetVersion.metadataBlocks.socialscience.fields.typeClass,string
doc_id,id
datasetVersion.metadataBlocks.citation.fields.value.contributorName.value,string
datasetVersion.license.uri,URI
datasetVersion.metadataBlocks.citation.fields.value.producerURL.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.publicationURL.value,URL
datasetVersion.createTime,date
datasetVersion.metadataBlocks.citation.fields.value.producerName.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredEnd.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.distributorURL.typeName,string
